Series ID,year,Period,Label,ppi,1mon,3mon,3mo_annualized,12mon
WPSFD4,2021,M05,2021 May,125.3,1.0,2.7,10.8,6.9
WPSFD4,2021,M06,2021 Jun,126.2,0.7,2.8,11.2,7.4
WPSFD4,2021,M07,2021 Jul,127.504,1.0,2.7,10.8,7.9
WPSFD4,2021,M08,2021 Aug,128.574,0.8,2.6,10.4,8.6
WPSFD4,2021,M09,2021 Sep,129.188,0.5,2.4,9.6,8.8
WPSFD4,2021,M10,2021 Oct,130.061,0.7,2.0,8.0,8.9
WPSFD4,2021,M11,2021 Nov,131.455,1.1,2.2,8.8,10.0
WPSFD4,2021,M12,2021 Dec,132.224,0.6,2.4,9.6,10.2
WPSFD4,2022,M01,2022 Jan,133.576,1.0,2.7,10.8,10.2
WPSFD4,2022,M02,2022 Feb,134.821,0.9,2.6,10.4,10.5
WPSFD4,2022,M03,2022 Mar,137.041,1.6,3.6,14.4,11.6
WPSFD4,2022,M04,2022 Apr,137.805,0.6,3.2,12.8,11.0
WPSFD4,2022,M05,2022 May,139.026,0.9,3.1,12.4,11.0
WPSFD4,2022,M06,2022 Jun,140.238,0.9,2.3,9.2,11.1
WPSFD4,2022,M07,2022 Jul,139.837,-0.3,1.5,6.0,9.7
WPSFD4,2022,M08,2022 Aug,139.721,-0.1,0.5,2.0,8.7
WPSFD4,2022,M09,2022 Sep,140.137,0.3,-0.1,-0.4,8.5
WPSFD4,2022,M10,2022 Oct,140.666,0.4,0.6,2.4,8.2
WPSFD4,2022,M11,2022 Nov,141.180,0.4,1.0,4.0,7.4
WPSFD4,2022,M12,2022 Dec,140.696,-0.3,0.4,1.6,6.4
WPSFD4,2023,M01,2023 Jan,141.286,0.4,0.4,1.6,5.8
WPSFD4,2023,M02,2023 Feb,141.237,0.0,0.0,0.0,4.8
WPSFD4,2023,M03,2023 Mar,140.738,-0.4,0.0,0.0,2.7
WPSFD4,2023,M04,2023 Apr,140.977,0.2,-0.2,-0.8,2.3
WPSFD4,2023,M05,2023 May,140.664,-0.2,-0.4,-1.6,1.2
WPSFD4,2023,M06,2023 Jun,140.672,0.0,0.0,0.0,0.3
WPSFD4,2023,M07,2023 Jul,141.461,0.6,0.3,1.2,1.2
WPSFD4,2023,M08,2023 Aug,142.353,0.6,1.2,4.8,1.9
WPSFD4,2023,M09,2023 Sep,142.658,0.2,1.4,5.6,1.8
WPSFD4,2023,M10,2023 Oct,142.144,-0.4,0.5,2.0,1.1
WPSFD4,2023,M11,2023 Nov,142.229,0.1,-0.1,-0.4,0.7
WPSFD4,2023,M12,2023 Dec,142.020,-0.1,-0.4,-1.6,0.9
WPSFD4,2024,M01,2024 Jan,142.488,0.3,0.2,0.8,0.9
